name,position,years,pro_bowls,draft_round,franchises,franchise_count
Jaire Alexander,DB,2018-2025,2,1,Packers -> Ravens -> Eagles,3
Jairus Byrd,DB,2009-2017,3,2,Bills -> Saints -> Panthers,3
Jake Long,OL,2008-2016,4,1,Dolphins -> Rams -> Falcons -> Vikings,4
Jakeem Grant,WR,2016-2023,1,6,Dolphins -> Bears -> Browns,3
Jalen Ramsey,DB,2016-2025,8,1,Jaguars -> Rams -> Dolphins -> Steelers,4
Jalen Reagor,WR,2020-2024,0,1,Eagles -> Vikings -> Patriots -> Chargers,4
Jalen Reeves-Maybin,LB,2017-2025,1,4,Lions -> Texans -> Lions -> Bears,3
Jamaal Anderson,DE,2007-2012,0,1,Falcons -> Colts -> Bengals,3
Jamaal Charles,RB,2008-2018,4,3,Chiefs -> Broncos -> Jaguars,3
Jamal Adams,LB,2017-2025,3,1,Jets -> Seahawks -> Titans -> Lions -> Raiders,5
Jamal Agnew,WR,2017-2025,1,5,Lions -> Jaguars -> Steelers -> Falcons,4
Jamar Fletcher,CB,2001-2008,0,1,Dolphins -> Chargers -> Lions -> Texans -> Bengals,5
Jameis Winston,QB,2015-2025,1,1,Buccaneers -> Saints -> Browns -> Giants,4
James Bradberry,DB,2016-2024,1,2,Panthers -> Giants -> Eagles,3
James Carpenter,OL,2011-2021,0,1,Seahawks -> Jets -> Falcons -> Ravens -> Saints,5
Jamie Collins,LB,2013-2022,1,2,Patriots -> Browns -> Patriots -> Lions -> Patriots,3
Jamin Davis,LB,2021-2025,0,1,Commanders -> Vikings -> Jets -> Raiders,4
Janoris Jenkins,DB,2012-2022,1,2,Rams -> Giants -> Saints -> Titans -> 49ers,5
Jared Allen,DE,2004-2015,5,4,Chiefs -> Vikings -> Bears -> Panthers,4
Jared Cook,TE,2009-2021,2,3,Titans -> Rams -> Packers -> Raiders -> Saints -> Chargers,6
Jarrad Davis,LB,2017-2023,0,1,Lions -> Jets -> Lions -> Giants,3
Jarvis Landry,WR,2014-2022,5,2,Dolphins -> Browns -> Saints,3
Jason Allen,CB,2006-2012,0,1,Dolphins -> Texans -> Bengals,3
Jason Babin,OLB,2004-2015,2,1,Texans -> Seahawks -> Chiefs -> Eagles -> Titans -> Eagles -> Jaguars -> Jets -> Ravens -> Cardinals,9
Jason Campbell,QB,2005-2014,0,1,Commanders -> Raiders -> Bears -> Browns -> Bengals,5
Jason Pierre-Paul,DL,2010-2025,3,1,Giants -> Buccaneers -> Ravens -> Saints -> Dolphins -> Buccaneers,5
Jason Taylor,OLB,1999-2011,6,3,Dolphins -> Commanders -> Dolphins -> Jets -> Dolphins,3
Javon Hargrave,DL,2016-2025,2,3,Steelers -> Eagles -> 49ers -> Vikings,4
Javon Kinlaw,DL,2020-2025,0,1,49ers -> Jets -> Commanders,3
Javon Walker,WR,2002-2009,1,1,Packers -> Broncos -> Raiders,3
Jay Cutler,QB,2006-2017,1,1,Broncos -> Bears -> Dolphins,3
Jaylon Smith,LB,2016-2023,1,2,Cowboys -> Packers -> Giants -> Saints -> Raiders,5
Jeff Blake,QB,1999-2005,1,6,Bengals -> Saints -> Ravens -> Cardinals -> Eagles -> Bears,6
Jeff Faine,C,2003-2011,0,1,Browns -> Saints -> Buccaneers,3
Jeff George,QB,1999-2004,0,1,Vikings -> Commanders -> Seahawks -> Bears,4
Jeff Okudah,DB,2020-2025,0,1,Lions -> Falcons -> Texans -> Vikings,4
Jeremiah Trotter,MLB,1999-2009,4,3,Eagles -> Commanders -> Eagles -> Buccaneers -> Eagles,3
Jeremy Maclin,WR,2009-2017,0,1,Eagles -> Chiefs -> Ravens,3
Jeremy Newberry,C,1999-2008,2,2,49ers -> Raiders -> Chargers,3
Jeremy Shockey,TE,2002-2011,4,1,Giants -> Saints -> Panthers,3
Jermaine Lewis,WR,1999-2003,2,5,Ravens -> Texans -> Jaguars,3
Jermon Bushrod,OL,2007-2018,2,4,Saints -> Bears -> Dolphins -> Saints,3
Jerome Felton,RB,2008-2016,1,5,Lions -> Panthers -> Colts -> Vikings -> Bills,5
Jerry Hughes,DL,2010-2024,0,1,Colts -> Bills -> Texans,3
Jerry Rice,WR,1999-2004,13,1,49ers -> Raiders -> Seahawks,3
Jerry Tillery,DL,2019-2025,0,1,Chargers -> Raiders -> Vikings -> Chiefs,4
Jimmy Graham,TE,2010-2023,5,3,Saints -> Seahawks -> Packers -> Bears -> Saints,4
Jimmy Kennedy,DT,2003-2011,0,1,Rams -> Bears -> Jaguars -> Vikings -> Giants,5
Joe Flacco,QB,2008-2025,1,1,Ravens -> Broncos -> Jets -> Eagles -> Jets -> Browns -> Colts -> Browns -> Bengals,7
Joe Horn,WR,1999-2007,4,5,Chiefs -> Saints -> Falcons,3
